Barein;431755;hk;lönd;Bareins;EFET2

fyrstur;0;lo;alm;1sti;FVB-KK-NFET
fyrstur;0;lo;alm;1sti;FSB-KK-NFET

fyrstur;0;lo;alm;1sta;FSB-KK-ÞFFT
fyrstur;0;lo;alm;1sta;FSB-KVK-ÞFET
fyrstur;0;lo;alm;1sta;FVB-KK-ÞFET
fyrstur;0;lo;alm;1sta;FVB-KK-ÞGFET
fyrstur;0;lo;alm;1sta;FVB-KK-EFET
fyrstur;0;lo;alm;1sta;FVB-KVK-NFET
fyrstur;0;lo;alm;1sta;FVB-HK-NFET
fyrstur;0;lo;alm;1sta;FVB-HK-ÞFET
fyrstur;0;lo;alm;1sta;FVB-HK-ÞGFET
fyrstur;0;lo;alm;1sta;FVB-HK-EFET

fyrstur;0;lo;alm;1stu;FSB-HK-ÞGFET
fyrstur;0;lo;alm;1stu;FVB-KK-NFFT
fyrstur;0;lo;alm;1stu;FVB-KK-ÞFFT
fyrstur;0;lo;alm;1stu;FVB-KK-ÞGFFT
fyrstur;0;lo;alm;1stu;FVB-KK-EFFT
fyrstur;0;lo;alm;1stu;FVB-KVK-ÞFET
fyrstur;0;lo;alm;1stu;FVB-KVK-ÞGFET
fyrstur;0;lo;alm;1stu;FVB-KVK-EFET
fyrstur;0;lo;alm;1stu;FVB-KVK-NFFT
fyrstur;0;lo;alm;1stu;FVB-KVK-ÞFFT
fyrstur;0;lo;alm;1stu;FVB-KVK-ÞGFFT
fyrstur;0;lo;alm;1stu;FVB-KVK-EFFT
fyrstur;0;lo;alm;1stu;FVB-HK-NFFT
fyrstur;0;lo;alm;1stu;FVB-HK-ÞFFT
fyrstur;0;lo;alm;1stu;FVB-HK-ÞGFFT
fyrstur;0;lo;alm;1stu;FVB-HK-EFFT

þriðji;0;lo;alm;3ji;FVB-KK-NFET
þriðji;0;lo;alm;3ji;FSB-KK-NFET

þriðji;0;lo;alm;3ja;FVB-KK-ÞFET
þriðji;0;lo;alm;3ja;FVB-KK-ÞGFET
þriðji;0;lo;alm;3ja;FVB-KK-EFET
þriðji;0;lo;alm;3ja;FVB-KVK-NFET
þriðji;0;lo;alm;3ja;FVB-HK-NFET
þriðji;0;lo;alm;3ja;FVB-HK-ÞFET
þriðji;0;lo;alm;3ja;FVB-HK-ÞGFET
þriðji;0;lo;alm;3ja;FVB-HK-EFET

þriðji;0;lo;alm;3ja;FSB-KK-ÞFET
þriðji;0;lo;alm;3ja;FSB-KK-ÞGFET
þriðji;0;lo;alm;3ja;FSB-KK-EFET
þriðji;0;lo;alm;3ja;FSB-KVK-NFET
þriðji;0;lo;alm;3ja;FSB-HK-NFET
þriðji;0;lo;alm;3ja;FSB-HK-ÞFET
þriðji;0;lo;alm;3ja;FSB-HK-ÞGFET
þriðji;0;lo;alm;3ja;FSB-HK-EFET

þriðji;0;lo;alm;3ju;FVB-KK-NFFT
þriðji;0;lo;alm;3ju;FVB-KK-ÞFFT
þriðji;0;lo;alm;3ju;FVB-KK-ÞGFFT
þriðji;0;lo;alm;3ju;FVB-KK-EFFT
þriðji;0;lo;alm;3ju;FVB-KVK-ÞFET
þriðji;0;lo;alm;3ju;FVB-KVK-ÞGFET
þriðji;0;lo;alm;3ju;FVB-KVK-EFET
þriðji;0;lo;alm;3ju;FVB-KVK-NFFT
þriðji;0;lo;alm;3ju;FVB-KVK-ÞFFT
þriðji;0;lo;alm;3ju;FVB-KVK-ÞGFFT
þriðji;0;lo;alm;3ju;FVB-KVK-EFFT
þriðji;0;lo;alm;3ju;FVB-HK-NFFT
þriðji;0;lo;alm;3ju;FVB-HK-ÞFFT
þriðji;0;lo;alm;3ju;FVB-HK-ÞGFFT
þriðji;0;lo;alm;3ju;FVB-HK-EFFT

þriðji;0;lo;alm;3ju;FSB-KK-NFFT
þriðji;0;lo;alm;3ju;FSB-KK-ÞFFT
þriðji;0;lo;alm;3ju;FSB-KK-ÞGFFT
þriðji;0;lo;alm;3ju;FSB-KK-EFFT
þriðji;0;lo;alm;3ju;FSB-KVK-ÞFET
þriðji;0;lo;alm;3ju;FSB-KVK-ÞGFET
þriðji;0;lo;alm;3ju;FSB-KVK-EFET
þriðji;0;lo;alm;3ju;FSB-KVK-NFFT
þriðji;0;lo;alm;3ju;FSB-KVK-ÞFFT
þriðji;0;lo;alm;3ju;FSB-KVK-ÞGFFT
þriðji;0;lo;alm;3ju;FSB-KVK-EFFT
þriðji;0;lo;alm;3ju;FSB-HK-NFFT
þriðji;0;lo;alm;3ju;FSB-HK-ÞFFT
þriðji;0;lo;alm;3ju;FSB-HK-ÞGFFT
þriðji;0;lo;alm;3ju;FSB-HK-EFFT

fjórði;0;lo;alm;4ði;FVB-KK-NFET
fjórði;0;lo;alm;4ði;FSB-KK-NFET

fjórði;0;lo;alm;4ða;FVB-KK-ÞFET
fjórði;0;lo;alm;4ða;FVB-KK-ÞGFET
fjórði;0;lo;alm;4ða;FVB-KK-EFET
fjórði;0;lo;alm;4ða;FVB-KVK-NFET
fjórði;0;lo;alm;4ða;FVB-HK-NFET
fjórði;0;lo;alm;4ða;FVB-HK-ÞFET
fjórði;0;lo;alm;4ða;FVB-HK-ÞGFET
